wing_length,wing_width,body_length,leg_length,target
11.0,6.25,3.0,7.05,2.31
9.5,7.4,3.0,8.5,1.77
10.2,5.3,1.8,2.5,2.73
16.0,7.4,1.0,4.0,2.43
9.5,7.4,3.0,3.6,2.27
13.25,7.45,2.0,4.65,2.5
13.25,7.45,2.0,3.8,2.28
11.8,6.95,2.25,4.8,2.41
8.5,2.7,2.0,2.5,2.41
8.0,2.7,2.0,2.5,2.76
9.7,3.0,3.0,3.5,2.98
9.0,3.0,3.0,3.5,2.69
9.0,3.0,2.5,4.0,2.73
9.0,3.0,2.15,4.3,2.8
7.5,2.7,1.65,2.8,2.83
13.0,5.0,2.0,6.0,3.0
13.0,5.0,1.5,6.5,2.81
13.0,5.0,1.0,7.0,3.08
12.5,5.0,1.0,7.0,3.15
12.0,5.0,1.0,7.0,2.7
9.0,7.5,3.0,9.0,1.9
9.5,7.5,2.5,9.0,2.1
10.0,7.5,2.0,9.0,2.0
